corner,launch,lease_after_two_reuses_V,valid_after_rebuild_V,dendrite_exact_V,dendrite_partial_V,route0_at_35us_V,route1_at_35us_V,route1_max_decision_V,physical_query_output_V,valid_after_error_V,route0_invalid_query_V,route1_invalid_query_V,fallback_query_output_V,pass
TT_mm,1,0.662112,1.8,0.543424,0.500049,1.8,-5.0394e-06,0.00155199,1.8,4.46099e-09,1.0957e-09,8.45431e-10,1.8,True
TT_mm,2,0.661217,1.8,0.543079,0.50045,1.8,-4.08682e-06,0.00159223,1.8,4.47986e-09,1.1106e-09,8.49054e-10,1.8,True
TT_mm,3,0.663811,1.8,0.543844,0.498773,1.79997,4.82163e-06,0.00279027,1.8,4.5064e-09,1.10342e-09,8.40035e-10,1.8,True
TT_mm,4,0.664792,1.8,0.542955,0.500008,1.8,-1.87383e-06,0.00159973,1.8,4.43104e-09,1.11126e-09,8.34899e-10,1.8,True
FF_mm,1,0.654532,1.8,0.543625,0.502886,1.8,7.34677e-07,1.35573e-05,1.8,3.63366e-09,8.33147e-10,6.43952e-10,1.8,True
FF_mm,2,0.65417,1.8,0.544886,0.502405,1.8,5.25572e-07,9.08181e-06,1.8,3.42727e-09,8.47108e-10,6.38607e-10,1.8,True
FF_mm,3,0.656132,1.8,0.543463,0.502388,1.8,-2.53398e-07,2.63504e-05,1.8,3.36053e-09,8.3827e-10,6.44488e-10,1.8,True
FF_mm,4,0.653747,1.8,0.545973,0.503788,1.8,7.26051e-09,1.44533e-05,1.8,3.24615e-09,8.41575e-10,6.3745e-10,1.8,True
SS_mm,1,0.66911,1.8,0.544307,0.501609,1.79999,2.75158e-07,0.00200246,1.8,3.7792e-09,1.44247e-09,1.13164e-09,1.8,True
SS_mm,2,0.672021,1.8,0.542962,0.500641,1.79999,3.81182e-07,0.00201444,1.8,4.21539e-09,1.45468e-09,1.13283e-09,1.8,True
SS_mm,3,0.670413,1.8,0.543105,0.501253,1.79999,3.99725e-07,0.00197526,1.8,3.23755e-09,1.47553e-09,1.11835e-09,1.8,True
SS_mm,4,0.670242,1.8,0.544039,0.502168,1.80001,-8.56192e-07,0.00198206,1.8,4.21433e-09,1.49705e-09,1.11775e-09,1.8,True
