corner,launch,wake12_V,min_12_event_V,max_12_event_V,post_done_V,pass
tt,1,1.125315,0.2002284,0.2002314,-0.008601527,True
tt_mm,1,1.123653,0.2002268,0.2002269,-0.01008377,True
tt_mm,2,1.117012,0.2002128,0.2002313,-0.009741579,True
tt_mm,3,1.15815,0.2002118,0.2002316,-0.00859764,True
tt_mm,4,1.116751,0.2002062,0.2002312,-0.01027257,True
ff,1,1.208329,0.2000909,0.2000966,-0.006981795,True
ff_mm,1,1.198993,0.2000804,0.2000903,-0.007318415,True
ff_mm,2,1.234622,0.2000964,0.2001141,-0.007192732,True
ff_mm,3,1.184948,0.2000872,0.2000945,-0.007361038,True
ff_mm,4,1.1971,0.2001077,0.2001126,-0.007191787,True
ss,1,1.029259,0.2000321,0.2000962,-0.01060351,True
ss_mm,1,1.066709,0.1999989,0.2000918,-0.01106336,True
ss_mm,2,1.05238,0.2000012,0.2000559,-0.01100014,True
ss_mm,3,0.9833426,0.1999967,0.2000583,-0.01051004,True
ss_mm,4,1.022882,0.2000753,0.2000968,-0.01075114,True
