corner,launch,wake12_V,min_event_V,post_done_event_V,pass
tt_mm,1,1.145535,0.2002112,-0.008651,True
tt_mm,2,1.113691,0.2002478,-0.010153,True
tt_mm,3,1.133246,0.2002248,-0.008474,True
tt_mm,4,1.190559,0.2001624,-0.008079,True
ff_mm,1,1.164405,0.2000612,-0.02454784,True
ff_mm,2,1.208404,0.2000776,-0.01725642,True
ff_mm,3,1.166882,0.2000727,-0.02468117,True
ff_mm,4,1.230589,0.2000597,-0.01760804,True
ss_mm,1,1.000719,0.2001203,-0.01319656,True
ss_mm,2,0.9840475,0.2000298,-0.01401847,True
ss_mm,3,1.026202,0.2001777,-0.01499873,True
ss_mm,4,1.027039,0.2000468,-0.01413112,True
