corner,launch,pre_peak_V,wake12_V,min_event_V,max_event_V,post_done_event_V,pass
tt_mm,1,1.803781,1.136934,0.2001733,0.2003241,-0.01141014,True
tt_mm,2,1.805161,1.093305,0.2001924,0.2003051,-0.01006552,True
tt_mm,3,1.803729,1.142902,0.2001823,0.2002509,-0.00866328,True
tt_mm,4,1.804446,1.150359,0.2001794,0.2002351,-0.008079709,True
ff_mm,1,1.802869,1.24224,0.2000548,0.2000588,-0.005677179,True
ff_mm,2,1.803052,1.217272,0.2000498,0.2000685,-0.008186635,True
ff_mm,3,1.802852,1.168885,0.2000546,0.2001018,-0.01271481,True
ff_mm,4,1.804106,1.178269,0.2000746,0.2000767,-0.01401551,True
ss_mm,1,1.808379,1.085855,0.2001967,0.2002123,-0.01551777,True
ss_mm,2,1.808548,1.043934,0.2001142,0.2002528,-0.01538862,True
ss_mm,3,1.809106,1.028184,0.2000054,0.200024,-0.01412132,True
ss_mm,4,1.80869,1.006024,0.2000276,0.2003943,-0.01441282,True
