corner,launch,wake12_V,min_event_V,max_event_V,post_done_event_V,pass
tt_mm,1,1.144777,0.2002288,0.2002581,-0.009295447,True
tt_mm,2,1.099862,0.2001961,0.2003525,-0.01097087,True
tt_mm,3,1.139598,0.2001529,0.2002173,-0.008654395,True
tt_mm,4,1.083551,0.2002219,0.2003365,-0.008620931,True
ff_mm,1,1.186639,0.200072,0.2000783,-0.01290153,True
ff_mm,2,1.199345,0.2000745,0.2000843,-0.01618294,True
ff_mm,3,1.160323,0.2000807,0.2000906,-0.01318139,True
ff_mm,4,1.19535,0.2000685,0.2000844,-0.01867872,True
ss_mm,1,0.9899827,0.2000255,0.2001177,-0.01380286,True
ss_mm,2,1.00823,0.200005,0.2000467,-0.01436923,True
ss_mm,3,1.014546,0.200005,0.2001114,-0.01450958,True
ss_mm,4,1.074586,0.200073,0.2001456,-0.01467719,True
