corner,launch,rc,h0a,h1a,route0a,route1a,outa,qclr,route0b,route1b,outb,evdd,eq1,selpre,leva,tea,levb,teb,margin_V,pass
tt_mm,1,0,0.5452898,0.501015,1.799993,1.927238e-07,1.8,9.551899e-09,1.108044e-09,8.203298e-10,1.8,2.77505e-11,2.43723e-11,1.799837,0.1999999,0.1000023,-0.01268967,-0.1591863,0.04427480000000006,True
tt_mm,2,0,0.5471615,0.5051043,1.799992,2.797069e-07,1.8,9.762785e-09,1.085697e-09,8.432438e-10,1.8,2.28938e-11,1.95456e-11,1.799841,0.2,0.1000025,-0.01401801,-0.1386973,0.04205720000000002,True
tt_mm,3,0,0.5433957,0.5006351,1.799992,-2.254864e-06,1.8,9.84241e-09,1.098204e-09,8.376894e-10,1.8,3.78403e-11,3.44948e-11,1.79988,0.2,0.1000026,-0.01289977,-0.1453938,0.04276060000000004,True
tt_mm,4,0,0.548735,0.4990748,1.799992,3.168718e-06,1.8,9.306024e-09,1.109067e-09,8.293828e-10,1.8,3.00532e-11,2.66811e-11,1.799869,0.2,0.1000017,-0.01291158,-0.1312423,0.04966019999999999,True
ff_mm,1,0,0.5443301,0.5038305,1.799995,-7.987444e-07,1.8,7.475536e-09,8.443e-10,6.420799e-10,1.8,5.84545e-11,5.52967e-11,1.799892,0.2000001,0.1000009,-0.01293256,-0.1293626,0.04049960000000008,True
ff_mm,2,0,0.5479733,0.5020789,1.799997,-1.875484e-07,1.8,7.550913e-09,8.435844e-10,6.561175e-10,1.8,4.70647e-11,4.38949e-11,1.799793,0.2,0.1000001,-0.01328666,-0.1189399,0.0458944,True
ff_mm,3,0,0.5439866,0.5027361,1.799998,-3.713699e-08,1.8,7.500226e-09,8.417441e-10,6.540923e-10,1.8,3.16553e-11,2.84351e-11,1.799781,0.2000001,0.1000004,-0.01285689,-0.1165587,0.04125049999999997,True
ff_mm,4,0,0.5473382,0.5028189,1.799996,2.065317e-07,1.8,8.087938e-09,8.56088e-10,6.474276e-10,1.8,6.42977e-11,6.10757e-11,1.799815,0.2,0.1000007,-0.01344766,-0.1344376,0.04451930000000004,True
ss_mm,1,0,0.544275,0.5001519,1.799981,4.235821e-07,1.8,7.270641e-09,1.463433e-09,1.117883e-09,1.8,3.24511e-11,2.86642e-11,1.799843,0.199992,0.09999778,-0.01279892,-0.07564411,0.04412309999999997,True
ss_mm,2,0,0.5423608,0.4989035,1.799985,-3.348018e-08,1.8,1.17392e-08,1.451258e-09,1.117577e-09,1.8,3.00126e-11,2.60757e-11,1.799788,0.199997,0.09999351,-0.01271241,-0.1350868,0.043457299999999977,True
ss_mm,3,0,0.5426195,0.4993199,1.799985,-2.020634e-08,1.8,1.227305e-08,1.472527e-09,1.116846e-09,1.8,1.91056e-11,1.52528e-11,1.799815,0.1999974,0.09999109,-0.01268774,-0.1781516,0.04329960000000005,True
ss_mm,4,0,0.5412774,0.5000956,1.799982,1.085562e-07,1.8,1.241711e-08,1.462994e-09,1.114669e-09,1.8,2.73488e-11,2.35051e-11,1.799949,0.1999652,0.0999957,-0.01244174,-0.1863347,0.041181800000000046,True
