corner,case,launch,pre_peak_V,wake_peak_V,wake12_V,min_event_V,max_event_V,post_done_event_V,pass
tt_mm,true,1,1.812415,1.177792,1.103512,0.2002861,0.2003757,-0.009077988,True
tt_mm,true,2,1.810232,1.184419,1.114844,0.2002894,0.2003656,-0.00965906,True
tt_mm,true,3,1.810588,1.215883,1.10897,0.2002561,0.2004304,-0.01271966,True
tt_mm,true,4,1.810838,1.183496,1.134846,0.2002123,0.2002257,-0.008155478,True
ff_mm,true,1,1.805846,1.283798,1.198579,0.2000622,0.200079,-0.01807058,True
ff_mm,true,2,1.806163,1.24017,1.181721,0.2000563,0.2000652,-0.02264427,True
ff_mm,true,3,1.805885,1.226709,1.199762,0.2000568,0.2000579,-0.01431351,True
ff_mm,true,4,1.805918,1.260071,1.219377,0.2000577,0.2000608,-0.01647369,True
ss_mm,true,1,1.815497,1.083763,1.00291,0.2001286,0.2001448,-0.01408782,True
ss_mm,true,2,1.816345,1.146641,0.9941013,0.2001581,0.2005083,-0.01376401,True
ss_mm,true,3,1.815107,1.071578,0.9904873,0.2001723,0.2001758,-0.01366881,True
ss_mm,true,4,1.813495,1.123998,1.046362,0.2001439,0.2001555,-0.01544883,True
