corner,case,launch,wake_peak_V,wake12_V,min_active_event_V,max_active_event_V,max_inactive_output_V,max_post_done_abs_V,pass
tt_mm,true,1,1.206396,1.178053,0.2001535,0.2002372,2.458747e-06,0.01267722,True
tt_mm,true,2,1.166804,1.13704,0.200212,0.2003429,2.645012e-06,0.01284693,True
tt_mm,true,3,1.219919,1.080842,0.2001811,0.2004854,3.160217e-06,0.01502945,True
tt_mm,true,4,1.181218,1.143936,0.2002285,0.2003145,2.735418e-06,0.01357745,True
ff_mm,true,1,1.211955,1.187965,0.2000585,0.2001044,1.761125e-06,0.01359176,True
ff_mm,true,2,1.203023,1.161323,0.200069,0.2001147,1.667596e-06,0.01652692,True
ff_mm,true,3,1.287617,1.238438,0.2000454,0.2000661,1.496887e-06,0.01326076,True
ff_mm,true,4,1.241652,1.152452,0.2000613,0.2001233,1.664607e-06,0.01213021,True
ss_mm,true,1,1.133163,1.046403,0.2000046,0.2005071,6.610344e-06,0.01938177,True
ss_mm,true,2,1.095313,1.0166,0.2000073,0.200171,7.005419e-06,0.01912054,True
ss_mm,true,3,1.139369,1.026619,0.2000268,0.2004954,6.908037e-06,0.02023995,True
ss_mm,true,4,1.134731,1.076606,0.2000023,0.2004922,5.972672e-06,0.01860544,True
