corner,seed,case,margin_mV,p0winner,p1winner,status,total_readout_fJ,p0o0,p0o1,p1o0,p1o1
tt,101,exact,28.1712,1,0,correct,44.10633222,0.002934829,1.523067,1.319533,0.003847742
tt,101,partial,-28.4548,0,1,correct,54.68878692,1.678168,0.003434611,0.002729421,1.716709
tt,202,exact,27.4084,1,0,correct,47.1310074,0.002825852,1.615583,1.416577,0.003481646
tt,202,partial,-25.9399,0,1,correct,52.3525158,1.714036,0.002991209,0.004120761,1.45171
tt,303,exact,29.4674,1,0,correct,44.73723222,0.002904036,1.54235,1.33777,0.003719317
tt,303,partial,-26.9206,0,1,correct,50.36211846,1.651276,0.003133493,0.003212922,1.55584
tt,404,exact,28.5955,1,0,correct,47.74295502,0.003052616,1.576222,1.507482,0.002993776
tt,404,partial,-26.8883,0,1,correct,48.51726318,1.639938,0.002897433,0.003427624,1.450928
ff,101,exact,28.1083,1,0,correct,33.6495924,0.002165685,1.10517,0.9474308,0.003428636
ff,101,partial,-27.8154,0,1,correct,37.4269734,1.306873,0.001760142,0.003418459,1.003891
ff,202,exact,27.3494,1,U,fallback,32.512149,0.002160449,1.084465,0.8714279,0.004099618
ff,202,partial,-25.3687,0,1,correct,39.1649274,1.257406,0.002194966,0.002329334,1.142073
ff,303,exact,29.4059,1,0,correct,31.7681568,0.003152456,0.9636832,0.9547167,0.002979701
ff,303,partial,-26.3162,0,1,correct,37.9069488,1.276212,0.00186482,0.002894041,1.026586
ff,404,exact,28.5493,1,0,correct,31.7099916,0.002652712,0.979604,0.923844,0.00345723
ff,404,partial,-26.2803,0,1,correct,37.5352398,1.147771,0.002565606,0.002104927,1.178926
ss,101,exact,28.2129,1,0,correct,55.5213447,0.006290347,1.709131,1.660262,0.00594982
ss,101,partial,-28.8869,0,1,correct,59.98936482,1.730179,0.007661916,0.006987124,1.702278
ss,202,exact,27.448,1,0,correct,58.10814036,0.006969155,1.718231,1.712522,0.006032033
ss,202,partial,-26.3258,0,0,fallback,60.77799288,1.745754,0.007263464,1.695976,0.006964638
ss,303,exact,29.5071,1,0,correct,55.30842504,0.006294117,1.718128,1.643389,0.006132426
ss,303,partial,-27.329,0,1,correct,62.85196296,1.739237,0.008079672,0.007321155,1.721876
ss,404,exact,28.6254,1,0,correct,58.12855866,0.006761929,1.736561,1.665232,0.006582977
ss,404,partial,-27.2994,0,1,correct,61.54348032,1.73327,0.007813158,0.007023411,1.711188
