corner,case,seed,status,gc0,gr0,p0o0,p0o1,gc1,gr1,p1o0,p1o1,qdd,vdd_fj
ff,exact,101,correct,0.5760426,0.5526711,0.03094274,0.9946972,0.5645214,0.5438614,1.129956,0.01984952,-5.96488e-14,107.36784
ff,exact,202,correct,0.5768563,0.5524909,0.02022223,1.022491,0.5657431,0.5431825,1.117412,0.02079606,-5.85939e-14,105.46902
ff,exact,303,correct,0.5765712,0.5513775,0.03906823,0.9851396,0.5649928,0.5425921,1.101125,0.02280745,-5.97387e-14,107.52966
ff,exact,404,correct,0.576664,0.5528919,0.02336376,1.035441,0.5655223,0.5436019,1.185081,0.01774617,-5.86855e-14,105.6339
ff,partial,101,correct,0.5314725,0.5523547,1.151938,0.02069856,0.5229646,0.5418813,0.01843785,1.278919,-6.60597e-14,118.90746
ff,partial,202,correct,0.531993,0.5516995,1.121813,0.02159246,0.5236373,0.5411461,0.02683319,1.088208,-6.68543e-14,120.33774
ff,partial,303,correct,0.5314365,0.5519372,1.163386,0.01959614,0.5229863,0.5414738,0.01897523,1.267219,-6.61041e-14,118.98738
ff,partial,404,correct,0.5308241,0.5514013,1.05963,0.02616903,0.5225075,0.540808,0.01998316,1.199016,-6.49288e-14,116.87184
ss,exact,101,correct,0.5785401,0.5565328,0.2948877,1.180946,0.567681,0.5482647,1.248891,0.1181545,-6.6111e-14,118.9998
ss,exact,202,correct,0.5810127,0.5538472,0.1500974,1.175997,0.5707159,0.545277,1.182727,0.1984842,-6.67126e-14,120.08268
ss,exact,303,correct,0.5794571,0.5543577,0.2623514,1.135662,0.5686178,0.5460196,1.204328,0.156937,-6.48095e-14,116.6571
ss,exact,404,correct,0.5764334,0.5572226,0.1371442,1.183012,0.5655748,0.5487527,1.188636,0.1853856,-6.50072e-14,117.01296
ss,partial,101,correct,0.5262082,0.5580356,1.223856,0.1661642,0.5188067,0.5486061,0.1287073,1.302471,-7.40127e-14,133.22286
ss,partial,202,correct,0.5255773,0.5538689,1.277576,0.09381814,0.5180484,0.5440927,0.07008698,1.384565,-7.36551e-14,132.57918
ss,partial,303,correct,0.524224,0.5561304,1.187402,0.2078843,0.5167641,0.5464978,0.174799,1.206099,-7.17611e-14,129.16998
