architecture,bond_pitch_um,bond_cap_fF_each,vertical_link_overhead_x,assumed_local_wire_um_each,selection_energy_fJ,selection_saving_vs_planar_pct,selection_plus_12event_lease_fJ,region_saving_vs_planar_pct
hybrid_bond_10um,10,3.0,1,50,44.098344,93.5149494117647,150.898344,80.82125775292323
hybrid_bond_10um,10,3.0,4,50,102.418344,84.93847882352941,209.218344,73.40895475343162
hybrid_bond_10um,10,3.0,8,50,180.178344,73.50318470588235,286.978344,63.525884087442805
hybrid_bond_10um,10,3.0,16,50,335.698344,50.63259647058823,442.49834400000003,43.75974275546517
hybrid_bond_5um,5,0.1,1,50,25.306344,96.27847882352941,132.106344,83.20966649720386
hybrid_bond_5um,5,0.1,4,50,27.250344,95.99259647058823,134.050344,82.96258973055414
hybrid_bond_5um,5,0.1,8,50,29.842344,95.61142000000001,136.642344,82.63315404168785
hybrid_bond_5um,5,0.1,16,50,35.026344,94.84906705882354,141.826344,81.97428266395525
hybrid_bond_1um,1,0.07,1,50,25.111944,96.30706705882352,131.911944,83.23437417386883
hybrid_bond_1um,1,0.07,4,50,26.472744,96.1069494117647,133.272744,83.06142043721403
hybrid_bond_1um,1,0.07,8,50,28.287144,95.84012588235295,135.087144,82.83081545500762
hybrid_bond_1um,1,0.07,16,50,31.915944000000003,95.3064788235294,138.715944,82.36960549059481
10um_plus_20fF_interface_each,10,23.0,1,50,173.698344,74.45612588235294,280.498344,64.34947330960854
