domain,physical_cost_factor,event_basis,events_before_locality,exact_core_pJ,hybrid_core_pJ,naive_global_total_pJ,naive_global_saving_pct,min_local_burst_for_10pct_reserve,global_selections_after_locality,cost_aware_total_pJ,cost_aware_saving_pct,compiler_choice
image,1,16 local image Grammar/motif events,16,47.555555556,26.171370756,37.051370756000004,22.08823906521412,1,16,37.051370756000004,22.08823906521412,hybrid_local
image,2,16 local image Grammar/motif events,16,47.555555556,26.171370756,47.93137075600001,-0.7902656074692596,2,8,37.051370756000004,22.08823906521412,hybrid_local
image,4,16 local image Grammar/motif events,16,47.555555556,26.171370756,69.691370756,-46.54727495283601,3,6,42.491370756,10.64898672887243,hybrid_local
image,8,16 local image Grammar/motif events,16,47.555555556,26.171370756,113.21137075600001,-138.06129364356954,6,3,42.491370756,10.64898672887243,hybrid_local
sound_raw,1,480 raw sound features (pessimistic global-routing stress),480,1183.2,506.700257169,833.100257169,29.589227757860044,1,480,833.100257169,29.589227757860044,hybrid_local
sound_raw,2,480 raw sound features (pessimistic global-routing stress),480,1183.2,506.700257169,1159.500257169,2.003020861308327,2,240,833.100257169,29.589227757860044,hybrid_local
sound_raw,4,480 raw sound features (pessimistic global-routing stress),480,1183.2,506.700257169,1812.300257169,-53.16939293179512,3,160,941.900257169,20.393825459009467,hybrid_local
sound_raw,8,480 raw sound features (pessimistic global-routing stress),480,1183.2,506.700257169,3117.900257169,-163.51422051800202,5,96,1028.940257169,13.037503619929005,hybrid_local
sound_grammar,1,160 local 3-step motif groups,160,1183.2,506.700257169,615.500257169,47.98003235556119,1,160,615.500257169,47.98003235556119,hybrid_local
sound_grammar,2,160 local 3-step motif groups,160,1183.2,506.700257169,724.300257169,38.78463005671062,1,160,724.300257169,38.78463005671062,hybrid_local
sound_grammar,4,160 local 3-step motif groups,160,1183.2,506.700257169,941.900257169,20.393825459009467,1,160,941.900257169,20.393825459009467,hybrid_local
sound_grammar,8,160 local 3-step motif groups,160,1183.2,506.700257169,1377.1002571689999,-16.387783736392823,2,80,941.900257169,20.393825459009467,hybrid_local
code,1,~47 active AST motifs,47,99.2,0.040855933,32.000855933,67.74107264818548,1,47,32.000855933,67.74107264818548,hybrid_local
code,2,~47 active AST motifs,47,99.2,0.040855933,63.960855933,35.523330712701615,1,47,63.960855933,35.523330712701615,hybrid_local
code,4,~47 active AST motifs,47,99.2,0.040855933,127.88085593299999,-28.91215315826613,2,24,65.320855933,34.152362970766134,hybrid_local
code,8,~47 active AST motifs,47,99.2,0.040855933,255.72085593300002,-157.78312090020162,3,16,87.080855933,12.216879099798387,hybrid_local
reasoning,1,12 relation hops,12,10.8,1.0605966980000001,9.220596698,14.624104648148153,1,12,9.220596698,14.624104648148153,hybrid_local
reasoning,2,12 relation hops,12,10.8,1.0605966980000001,17.380596698,-60.93145090740742,2,6,9.220596698,14.624104648148153,hybrid_local
reasoning,4,12 relation hops,12,10.8,1.0605966980000001,33.700596698,-212.04256201851854,4,3,9.220596698,14.624104648148153,hybrid_local
reasoning,8,12 relation hops,12,10.8,1.0605966980000001,66.340596698,-514.2647842407407,12,1,6.500596698000001,39.80928983333333,hybrid_local
