corner,temp_C,seed,a0v,a1v,a2v,a3v,b0v,b1v,b2v,b3v,xkick,qsrca,qsrcb,one_tap_pass,four_tap_pass,xtalk_pass,one_tap_work_fJ,four_tap_work_fJ
tt_mm,25,101,0.1999999,-4.268e-06,-4.75888e-06,-4.5829e-06,0.2,0.1999983,0.2,0.1999999,0.0003438517,3.483365e-17,6.823665e-17,True,True,True,0.006966730000000001,0.013647330000000001
tt_mm,25,202,0.1999999,-5.3007e-06,-5.55469e-06,-6.89892e-06,0.1999999,0.1999999,0.1999999,0.2,0.0003438517,1.34315e-17,9.076559e-17,True,True,True,0.0026863,0.018153118
tt_mm,25,303,0.2,-5.47786e-06,-5.87642e-06,-5.23019e-06,0.1999999,0.1999999,0.2,0.1999998,0.0003438517,3.346949e-17,8.919051e-17,True,True,True,0.006693897999999999,0.017838101999999998
tt_mm,25,404,0.1999999,-5.30742e-06,-5.44092e-06,-4.89714e-06,0.1999999,0.1999999,0.1999999,0.2,0.0003438517,1.081631e-17,1.097489e-16,True,True,True,0.002163262,0.021949780000000002
ff_mm,-20,101,0.2,-3.38342e-06,-3.7717e-06,-2.43058e-06,0.2,0.2,0.2,0.2,0.0003438518,3.119791e-17,9.252605e-17,True,True,True,0.0062395820000000005,0.018505210000000005
ff_mm,-20,202,0.2,-3.31173e-06,-2.60181e-06,-3.33069e-06,0.2,0.2,0.2,0.2,0.0003438518,3.619484e-17,9.055463e-17,True,True,True,0.007238968,0.018110926
ff_mm,-20,303,0.2,-3.37551e-06,-4.25938e-06,-2.48194e-06,0.2,0.2,0.2,0.2,0.0003438518,1.842312e-17,8.785909e-17,True,True,True,0.003684624,0.017571818000000003
ff_mm,-20,404,0.2,-2.91028e-06,-3.07294e-06,-2.90934e-06,0.2,0.2,0.2,0.2,0.0003438518,2.173994e-17,8.839861e-17,True,True,True,0.0043479880000000005,0.017679722000000002
ss_mm,85,101,0.1999998,-1.11223e-05,-1.08108e-05,-9.53888e-06,0.1999997,0.1999999,0.2,0.1999997,0.0003438513,-1.59651e-17,-3.58662e-17,True,True,True,0.0031930200000000004,0.00717324
ss_mm,85,202,0.1999998,-9.50825e-06,-1.29321e-05,-1.21798e-05,0.1999999,0.1999999,0.1999999,0.1999999,0.0003438517,-1.80673e-17,1.367141e-18,True,True,True,0.00361346,0.00027342820000000005
ss_mm,85,303,0.1999999,-1.04616e-05,-1.20876e-05,-9.43374e-06,0.2,0.1999999,0.1999999,0.1999999,0.0003438518,-1.04374e-17,9.230611e-18,True,True,True,0.00208748,0.0018461222000000002
ss_mm,85,404,0.1999999,-1.12873e-05,-1.04252e-05,-1.1704e-05,0.1999998,0.1999999,0.1999999,0.1999999,0.0003438515,6.252417e-18,-2.3861e-17,True,True,True,0.0012504834,0.0047722
