wavelength_nm,published_loss_dB_per_mm,distance_mm,propagation_loss_dB,transmitted_power_percent
635,1.93,0.5,0.965,80.0755628506701
635,1.93,0.9,1.7369999999999999,67.03475091727319
635,1.93,1.0,1.93,64.12095765851616
635,1.93,2.0,3.86,41.11497211045222
635,1.93,5.0,9.65,10.839269140212034
635,1.93,10.0,19.3,1.174897554939529
635,1.93,20.0,38.6,0.013803842646028838
830,3.71,0.5,1.855,65.23790409982092
830,3.71,0.9,3.339,46.35536446198507
830,3.71,1.0,3.71,42.55984131337431
830,3.71,2.0,7.42,18.113400926196025
830,3.71,5.0,18.55,1.3963683610559376
830,3.71,10.0,37.1,0.019498445997580455
830,3.71,20.0,74.2,3.8018939632056124e-06
