distance_mm,electrical_dedicated_proxy_fJ,good_optical_fJ,good_preferred,moderate_optical_fJ,moderate_preferred,poor_optical_fJ,poor_preferred
0.5,2.0188888888888887,8.756778765741942,electrical,19.23163424012906,electrical,65.89235408058077,electrical
1.0,3.8877777777777776,8.756778765741942,electrical,19.23163424012906,electrical,65.89235408058077,electrical
1.5,5.756666666666667,8.756778765741942,electrical,19.23163424012906,electrical,65.89235408058077,electrical
2.0,7.625555555555556,8.756778765741942,electrical,19.23163424012906,electrical,65.89235408058077,electrical
2.5,9.494444444444445,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
3.0,11.363333333333333,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
3.5,13.232222222222221,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
4.0,15.101111111111111,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
4.5,16.97,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
5.0,18.83888888888889,8.756778765741942,optical,19.23163424012906,electrical,65.89235408058077,electrical
5.5,20.707777777777775,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
6.0,22.576666666666664,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
6.5,24.445555555555554,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
7.0,26.31444444444444,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
7.5,28.18333333333333,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
8.0,30.05222222222222,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
8.5,31.92111111111111,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
9.0,33.79,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
9.5,35.65888888888889,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
10.0,37.52777777777778,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
10.5,39.39666666666666,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
11.0,41.26555555555555,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
11.5,43.13444444444444,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
12.0,45.00333333333333,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
12.5,46.87222222222222,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
13.0,48.74111111111111,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
13.5,50.61,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
14.0,52.47888888888888,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
14.5,54.34777777777777,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
15.0,56.21666666666666,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
15.5,58.08555555555555,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
16.0,59.95444444444444,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
16.5,61.82333333333333,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
17.0,63.69222222222222,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
17.5,65.56111111111112,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,electrical
18.0,67.43,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,optical
18.5,69.2988888888889,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,optical
19.0,71.16777777777779,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,optical
19.5,73.03666666666668,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,optical
20.0,74.90555555555557,8.756778765741942,optical,19.23163424012906,optical,65.89235408058077,optical
