scenario,fanout,distance_mm,optical_fJ,electrical_dedicated_fJ,optical_saving_pct
good,1,2,8.756778765741942,7.625555555555556,-14.835603208649206
good,1,5,8.756778765741942,18.83888888888889,53.51858243922159
good,1,10,8.756778765741942,37.52777777777778,76.66638556225954
good,1,20,8.756778765741942,74.90555555555557,88.30951461896071
good,2,2,11.613557531483884,15.251111111111111,23.85132526180454
good,2,5,11.613557531483884,37.67777777777778,69.17774526960538
good,2,10,11.613557531483884,75.05555555555556,84.52668129814635
good,2,20,11.613557531483884,149.81111111111113,92.24812282748125
good,4,2,17.327115062967768,30.502222222222223,43.1937405693831
good,4,5,17.327115062967768,75.35555555555555,77.00582990344714
good,4,10,17.327115062967768,150.11111111111111,88.45682893948322
good,4,20,17.327115062967768,299.62222222222226,94.21714443127042
good,8,2,28.754230125935537,61.004444444444445,52.86560718744003
good,8,5,28.754230125935537,150.7111111111111,80.92039107351193
good,8,10,28.754230125935537,300.22222222222223,90.42209567442468
good,8,20,28.754230125935537,599.2444444444445,95.20164359623999
good,16,2,51.60846025187107,122.00888888888889,57.701540496468496
good,16,5,51.60846025187107,301.4222222222222,82.87815620354432
good,16,10,51.60846025187107,600.4444444444445,91.40503546883938
good,16,20,51.60846025187107,1198.488888888889,95.69470653735817
moderate,1,2,19.231634240129062,7.625555555555556,-152.20123229600403
moderate,1,5,19.231634240129062,18.83888888888889,-2.0847588461729293
moderate,1,10,19.231634240129062,37.52777777777778,48.75360203499795
moderate,1,20,19.231634240129062,74.90555555555557,74.32549003820489
moderate,2,2,32.563268480258126,15.251111111111111,-113.51471441808754
moderate,2,5,32.563268480258126,37.67777777777778,13.574338857342744
moderate,2,10,32.563268480258126,75.05555555555556,56.614445654413845
moderate,2,20,32.563268480258126,149.81111111111113,78.26378306570222
moderate,4,2,59.22653696051625,30.502222222222223,-94.17447991416794
moderate,4,5,59.22653696051625,75.35555555555555,21.40388770910028
moderate,4,10,59.22653696051625,150.11111111111111,60.54486754596796
moderate,4,20,59.22653696051625,299.62222222222226,80.23292941719964
moderate,8,2,112.5530739210325,61.004444444444445,-84.50053593372788
moderate,8,5,112.5530739210325,150.7111111111111,25.318662130388007
moderate,8,10,112.5530739210325,300.22222222222223,62.5100785838782
moderate,8,20,112.5530739210325,599.2444444444445,81.21750157250451
moderate,16,2,219.206147842065,122.00888888888889,-79.66213894350782
moderate,16,5,219.206147842065,301.4222222222222,27.276049341454662
moderate,16,10,219.206147842065,600.4444444444445,63.492684314487096
moderate,16,20,219.206147842065,1198.488888888889,81.70978872046617
poor,1,2,65.89235408058077,7.625555555555556,-764.0899934748521
poor,1,5,65.89235408058077,18.83888888888889,-249.76761311130558
poor,1,10,65.89235408058077,37.52777777777778,-75.57814599884795
poor,1,20,65.89235408058077,74.90555555555557,12.033645554026362
poor,2,2,125.88470816116154,15.251111111111111,-725.4022667521795
poor,2,5,125.88470816116154,37.67777777777778,-234.10880577961308
poor,2,10,125.88470816116154,75.05555555555556,-67.72469871943211
poor,2,20,125.88470816116154,149.81111111111113,15.97380708760161
poor,4,2,245.86941632232308,30.502222222222223,-706.0584033908434
poor,4,5,245.86941632232308,75.35555555555555,-226.27015555401082
poor,4,10,245.86941632232308,150.11111111111111,-63.79087765704354
poor,4,20,245.86941632232308,299.62222222222226,17.94098838969078
poor,8,2,485.83883264464616,61.004444444444445,-696.3854067101755
poor,8,5,485.83883264464616,150.7111111111111,-222.36289716073634
poor,8,10,485.83883264464616,300.22222222222223,-61.83108812975215
poor,8,20,485.83883264464616,599.2444444444445,18.925152466939808
poor,16,2,965.7776652892923,122.00888888888889,-691.5489083698415
poor,16,5,965.7776652892923,301.4222222222222,-220.40794013023909
poor,16,10,965.7776652892923,600.4444444444445,-60.84360487062923
poor,16,20,965.7776652892923,1198.488888888889,19.416573677295914
