domain,events,local_burst,long_selections,optical_promoted_fraction,comm_pJ,total_hybrid_pJ,exact_pJ,saving_vs_exact_pct
image,16,3,6,0.0,4.08,30.2514,47.5556,36.387302
image,16,3,6,0.25,3.088847,29.260247,47.5556,38.4715
image,16,3,6,0.5,2.097695,28.269095,47.5556,40.555697
image,16,3,6,0.75,1.106542,27.277942,47.5556,42.639894
image,16,3,6,1.0,0.11539,26.28679,47.5556,44.724092
sound_grammar,160,1,160,0.0,108.8,615.5003,1183.2,47.980029
sound_grammar,160,1,160,0.25,82.369265,589.069565,1183.2,50.213864
sound_grammar,160,1,160,0.5,55.938531,562.638831,1183.2,52.447699
sound_grammar,160,1,160,0.75,29.507796,536.208096,1183.2,54.681533
sound_grammar,160,1,160,1.0,3.077061,509.777361,1183.2,56.915368
code,47,2,24,0.0,16.32,16.360856,99.2,83.507202
code,47,2,24,0.25,12.35539,12.396246,99.2,87.503785
code,47,2,24,0.5,8.39078,8.431636,99.2,91.500367
code,47,2,24,0.75,4.426169,4.467025,99.2,95.49695
code,47,2,24,1.0,0.461559,0.502415,99.2,99.493533
reasoning,12,4,3,0.0,2.04,3.100597,10.8,71.290771
reasoning,12,4,3,0.25,1.544424,2.60502,10.8,75.879441
reasoning,12,4,3,0.5,1.048847,2.109444,10.8,80.46811
reasoning,12,4,3,0.75,0.553271,1.613868,10.8,85.056779
reasoning,12,4,3,1.0,0.057695,1.118292,10.8,89.645448
