reuse_per_pair,candidate_hot_fraction,candidate_hot_routes,actually_promoted_routes,all_electrical_fJ,hybrid_fJ,hybrid_saving_pct
16,0.25,7,0,21549.02,21549.02,0
16,0.5,14,0,21549.02,21549.02,0
16,1.0,28,0,21549.02,21549.02,0
32,0.25,7,7,43098.04,39162.49,9.13
32,0.5,14,14,43098.04,36744.66,14.74
32,1.0,28,16,43098.04,36053.85,16.34
64,0.25,7,7,86196.09,71324.98,17.25
64,0.5,14,14,86196.09,59489.32,30.98
64,1.0,28,28,86196.09,47685.77,44.68
128,0.25,7,7,172392.17,135649.97,21.31
128,0.5,14,14,172392.17,104978.64,39.10
128,1.0,28,28,172392.17,67371.54,60.92
256,0.25,7,7,344784.34,264299.94,23.34
256,0.5,14,14,344784.34,195957.28,43.17
256,1.0,28,28,344784.34,106743.08,69.04
