uses_per_relation,hot_fraction,routes_optically_economic_if_hot,hollow_electrical_lifetime_pJ,hollow_heterogeneous_expected_pJ,communication_saving_pct
16,0.25,0,21.549021561685578,21.549021561685578,0.0
16,0.5,0,21.549021561685578,21.549021561685578,0.0
16,1.0,0,21.549021561685578,21.549021561685578,0.0
32,0.25,16,43.098043123371156,41.33664021454439,4.086967252282504
32,0.5,16,43.098043123371156,39.575237305717614,8.173934504565008
32,1.0,16,43.098043123371156,36.05243148806407,16.347869009130015
64,0.25,28,86.19608624674231,76.56723242908876,11.170871250569643
64,0.5,28,86.19608624674231,66.93837861143525,22.341742501139233
64,1.0,28,86.19608624674231,47.680670976128184,44.68348500227849
128,0.25,28,172.39217249348462,146.13446485817752,15.231380436544754
128,0.5,28,172.39217249348462,119.87675722287052,30.462760873089447
128,1.0,28,172.39217249348462,67.36134195225635,60.92552174617894
256,0.25,28,344.78434498696924,285.2689297163552,17.261635029532258
256,0.5,28,344.78434498696924,225.75351444574113,34.523270059064515
256,1.0,28,344.78434498696924,106.72268390401504,69.04654011812903
