expired_reservoirs,chip_transfer_efficiency,fixed_transfer_overhead_fJ,gross_after_transfer_fJ,net_recovered_fJ,effective_fraction_of_removed_energy
8,0.9,10,10.872,0.872,0.0382456140
8,0.9,50,10.872,0.0,0.0
8,0.9,100,10.872,0.0,0.0
16,0.9,10,21.744,11.744,0.2575438596
16,0.9,50,21.744,0.0,0.0
16,0.9,100,21.744,0.0,0.0
32,0.9,10,43.488,33.488,0.3671929825
32,0.9,50,43.488,0.0,0.0
32,0.9,100,43.488,0.0,0.0
64,0.9,10,86.976,76.976,0.4220175439
64,0.9,50,86.976,36.976,0.2027192982
64,0.9,100,86.976,0.0,0.0
128,0.9,10,173.952,163.952,0.4494298246
128,0.9,50,173.952,123.952,0.3397807018
128,0.9,100,173.952,73.952,0.2027192982
256,0.9,10,347.904,337.904,0.4631359649
256,0.9,50,347.904,297.904,0.4083114035
256,0.9,100,347.904,247.904,0.3397807018
1024,0.9,10,1391.616,1381.616,0.4734155702
1024,0.9,50,1391.616,1341.616,0.4597094298
1024,0.9,100,1391.616,1291.616,0.4425767544
