regional_recovery_packets,per_packet_stored_fJ,second_stage_efficiency,fixed_chip_transfer_overhead_fJ,min_break_even_packets,net_chip_recovered_fJ,net_fraction_of_regional_stored
1,220,0.9,50,1,148.0,0.6727272727272727
2,220,0.9,50,1,346.0,0.7863636363636364
4,220,0.9,50,1,742.0,0.8431818181818181
8,220,0.9,50,1,1534.0,0.8715909090909091
1,220,0.9,100,1,98.0,0.44545454545454544
2,220,0.9,100,1,296.0,0.6727272727272727
4,220,0.9,100,1,692.0,0.7863636363636364
8,220,0.9,100,1,1484.0,0.8431818181818181
1,220,0.9,200,2,0.0,0.0
2,220,0.9,200,2,196.0,0.44545454545454544
4,220,0.9,200,2,592.0,0.6727272727272727
8,220,0.9,200,2,1384.0,0.7863636363636364
