wall_t_mm,outer_area_mm2,inner_area_mm2,service_reserve_fraction,usable_all_surface_mm2,usable_vs_outer_only_x
0.1,280,262.64,0.0,542.64,1.938
0.1,280,262.64,0.2,434.112,1.5504
0.1,280,262.64,0.3,379.848,1.3566
0.1,280,262.64,0.4,325.584,1.1628
0.2,280,245.76,0.0,525.76,1.8777142857142857
0.2,280,245.76,0.2,420.608,1.5021714285714285
0.2,280,245.76,0.3,368.032,1.3144
0.2,280,245.76,0.4,315.456,1.1266285714285713
0.3,280,229.36,0.0,509.36,1.8191428571428572
0.3,280,229.36,0.2,407.488,1.4553142857142858
0.3,280,229.36,0.3,356.552,1.2734
0.3,280,229.36,0.4,305.616,1.0914857142857144
0.5,280,198.0,0.0,478.0,1.707142857142857
0.5,280,198.0,0.2,382.4,1.3657142857142857
0.5,280,198.0,0.3,334.6,1.195
0.5,280,198.0,0.4,286.8,1.0242857142857142
