coupling_scale,nerve_transitions,artery_transitions,max_normalized_asymmetry_for_18mV,max_asymmetry_percent
0.5,8,8,1.750136,175.014
0.5,8,32,0.905318,90.532
0.5,16,16,0.875068,87.507
0.5,32,32,0.437534,43.753
1.0,8,8,0.875068,87.507
1.0,8,32,0.452659,45.266
1.0,16,16,0.437534,43.753
1.0,32,32,0.218767,21.877
1.5,8,8,0.583379,58.338
1.5,8,32,0.301773,30.177
1.5,16,16,0.291689,29.169
1.5,32,32,0.145845,14.584
2.0,8,8,0.437534,43.753
2.0,8,32,0.226330,22.633
2.0,16,16,0.218767,21.877
2.0,32,32,0.109384,10.938
