distance_mm,uses,electrical_fj_per_use,optical_amortized_fj_per_use,optical_economic,saving_pct
1,8,3.89,135.8714,False,-3392.8380462724936
1,16,3.89,73.3714,False,-1786.154241645244
1,32,3.89,42.1214,False,-982.8123393316195
1,64,3.89,26.4964,False,-581.1413881748072
1,128,3.89,18.6839,False,-380.305912596401
1,256,3.89,14.77765,False,-279.8881748071979
2,8,7.630000000000001,135.8808,False,-1680.8754914809958
2,16,7.630000000000001,73.3808,False,-861.7404980340759
2,32,7.630000000000001,42.1308,False,-452.1730013106159
2,64,7.630000000000001,26.5058,False,-247.38925294888594
2,128,7.630000000000001,18.6933,False,-144.99737876802095
2,256,7.630000000000001,14.78705,False,-93.80144167758846
5,8,18.85,135.909,False,-621.0026525198938
5,16,18.85,73.409,False,-289.43766578249335
5,32,18.85,42.159,False,-123.65517241379308
5,64,18.85,26.534,False,-40.76392572944295
5,128,18.85,18.7215,True,0.6816976127321087
5,256,18.85,14.81525,True,21.404509283819632
10,8,37.550000000000004,135.956,False,-262.0665778961384
10,16,37.550000000000004,73.456,False,-95.6218375499334
10,32,37.550000000000004,42.206,False,-12.399467376830888
10,64,37.550000000000004,26.581,True,29.211717709720386
10,128,37.550000000000004,18.7685,True,50.01731025299601
10,256,37.550000000000004,14.86225,True,60.42010652463383
15,8,56.25,136.003,False,-141.78311111111108
15,16,56.25,73.503,False,-30.672
15,32,56.25,42.253,True,24.883555555555557
15,64,56.25,26.628,True,52.66133333333333
15,128,56.25,18.8155,True,66.55022222222222
15,256,56.25,14.90925,True,73.49466666666666
20,8,74.95000000000002,136.05,False,-81.52101400933952
20,16,74.95000000000002,73.55,True,1.8679119412942222
20,32,74.95000000000002,42.3,True,43.56237491661109
20,64,74.95000000000002,26.675,True,64.40960640426952
20,128,74.95000000000002,18.8625,True,74.83322214809874
20,256,74.95000000000002,14.95625,True,80.04503002001334
