cross_fraction,route,route_fj,independent_fj_per_episode,v13m_fj_per_episode,saving_pct,long_selections_independent,long_selections_v13m
0.0,near_spine,0.67,5977.3144,1324.1144,77.84767018445609,8.0,1.0
0.0,opposite_surface_chord_2mm,7.630000000000001,5977.3144,1324.1144,77.84767018445609,8.0,1.0
0.0,bad_surface_detour_10mm,37.550000000000004,5977.3144,1324.1144,77.84767018445609,8.0,1.0
0.0,hot_optical_10mm_64use,26.581,5977.3144,1324.1144,77.84767018445609,8.0,1.0
0.1,near_spine,0.67,6276.24712,1429.72712,77.22003145089674,8.4,1.1
0.1,opposite_surface_chord_2mm,7.630000000000001,6276.94312,1430.42312,77.2114691394559,8.4,1.1
0.1,bad_surface_detour_10mm,37.550000000000004,6279.93512,1433.41512,77.17468265818646,8.4,1.1
0.1,hot_optical_10mm_64use,26.581,6278.838220000001,1432.3182199999999,77.18816491500557,8.4,1.1
0.25,near_spine,0.67,6724.6462,1588.1462,76.38320065076435,9.0,1.25
0.25,opposite_surface_chord_2mm,7.630000000000001,6726.3862,1589.8862,76.36344163527215,9.0,1.25
0.25,bad_surface_detour_10mm,37.550000000000004,6733.8662,1597.3662,76.27861688133927,9.0,1.25
0.25,hot_optical_10mm_64use,26.581,6731.12395,1594.62395,76.30969267769909,9.0,1.25
0.5,near_spine,0.67,7471.978,1852.1779999999999,75.21167755044246,10.0,1.5
0.5,opposite_surface_chord_2mm,7.630000000000001,7475.4580000000005,1855.658,75.17666476087486,10.0,1.5
0.5,bad_surface_detour_10mm,37.550000000000004,7490.418000000001,1870.618,75.0265205493205,10.0,1.5
0.5,hot_optical_10mm_64use,26.581,7484.9335,1865.1335,75.08149538001908,10.0,1.5
0.75,near_spine,0.67,8219.3098,2116.2097999999996,74.25319337640735,11.0,1.75
0.75,opposite_surface_chord_2mm,7.630000000000001,8224.5298,2121.4298,74.20606585923002,11.0,1.75
0.75,bad_surface_detour_10mm,37.550000000000004,8246.9698,2143.8698,74.00415119744952,11.0,1.75
0.75,hot_optical_10mm_64use,26.581,8238.743050000001,2135.6430499999997,74.07804762159685,11.0,1.75
1.0,near_spine,0.67,8966.6416,2380.2416,73.45448043780405,12.0,2.0
1.0,opposite_surface_chord_2mm,7.630000000000001,8973.6016,2387.2016,73.3975085321372,12.0,2.0
1.0,bad_surface_detour_10mm,37.550000000000004,9003.5216,2417.1216,73.15359803213,12.0,2.0
1.0,hot_optical_10mm_64use,26.581,8992.5526,2406.1526,73.24282985011398,12.0,2.0
