cross_fraction,replacement,v13m_fj,vs_surface_detour_fj_saved,vs_surface_detour_pct
0.1,opposite_surface_chord_2mm,1430.42312,2.991999999999962,0.20873227568577357
0.1,hot_optical_10mm_64use,1432.3182199999999,1.096900000000005,0.07652354050793082
0.25,opposite_surface_chord_2mm,1589.8862,7.480000000000018,0.4682708323238603
0.25,hot_optical_10mm_64use,1594.62395,2.7422500000000127,0.17167322058022844
0.5,opposite_surface_chord_2mm,1855.658,14.960000000000036,0.799735702318701
0.5,hot_optical_10mm_64use,1865.1335,5.4845000000000255,0.29319187562613136
0.75,opposite_surface_chord_2mm,2121.4298,22.440000000000055,1.0467053549613907
0.75,hot_optical_10mm_64use,2135.6430499999997,8.226750000000266,0.38373365770627793
1.0,opposite_surface_chord_2mm,2387.2016,29.920000000000073,1.2378359450347916
1.0,hot_optical_10mm_64use,2406.1526,10.969000000000051,0.45380422730904607
