exact_compute_pj,fallback_fraction,exact_every_episode_pj,local_first_pj,saving_percent
0.5,0.01,0.517765,1.32929205,-156.73656002240398
0.5,0.05,0.517765,1.35000265,-160.736560022404
0.5,0.1,0.517765,1.3758909,-165.73656002240398
0.5,0.25,0.517765,1.45355565,-180.736560022404
0.5,0.5,0.517765,1.5829969,-205.73656002240398
0.5,0.75,0.517765,1.7124381499999999,-230.73656002240398
1,0.01,1.017765,1.33429205,-31.100209773375976
1,0.05,1.017765,1.3750026499999999,-35.10020977337598
1,0.1,1.017765,1.4258909,-40.10020977337596
1,0.25,1.017765,1.57855565,-55.10020977337597
1,0.5,1.017765,1.8329969,-80.10020977337598
1,0.75,1.017765,2.08743815,-105.10020977337598
2,0.01,2.0177650000000003,1.34429205,33.37717474532466
2,0.05,2.0177650000000003,1.42500265,29.377174745324663
2,0.1,2.0177650000000003,1.5258908999999998,24.37717474532466
2,0.25,2.0177650000000003,1.82855565,9.377174745324657
2,0.5,2.0177650000000003,2.3329969,-15.622825254675355
2,0.75,2.0177650000000003,2.83743815,-40.622825254675334
5,0.01,5.017765000000001,1.37429205,72.61147044550711
5,0.05,5.017765000000001,1.5750026499999998,68.61147044550712
5,0.1,5.017765000000001,1.8258908999999999,63.61147044550712
5,0.25,5.017765000000001,2.57855565,48.61147044550711
5,0.5,5.017765000000001,3.8329969,23.61147044550712
5,0.75,5.017765000000001,5.08743815,-1.38852955449289
10,0.01,10.017764999999999,1.42429205,85.78233717800327
10,0.05,10.017764999999999,1.8250026499999998,81.78233717800327
10,0.1,10.017764999999999,2.3258909,76.78233717800327
10,0.25,10.017764999999999,3.8285556499999998,61.782337178003274
10,0.5,10.017764999999999,6.3329969,36.782337178003274
10,0.75,10.017764999999999,8.83743815,11.782337178003278
50,0.01,50.017765,1.82429205,96.35271178150403
50,0.05,50.017765,3.82500265,92.35271178150404
50,0.1,50.017765,6.3258909,87.35271178150403
50,0.25,50.017765,13.82855565,72.35271178150403
50,0.5,50.017765,26.332996899999998,47.352711781504034
50,0.75,50.017765,38.83743815,22.35271178150404
100,0.01,100.017765,2.32429205,97.67612078714217
100,0.05,100.017765,6.32500265,93.67612078714215
100,0.1,100.017765,11.325890900000001,88.67612078714217
100,0.25,100.017765,26.32855565,73.67612078714217
100,0.5,100.017765,51.3329969,48.67612078714216
100,0.75,100.017765,76.33743815,23.676120787142164
