fallback_probability_per_octet,overflow_target,exact_service_slots_required,slots_removed_vs_one_per_octet,slot_reduction_percent,actual_overflow_probability
0.01,0.01,2,30,93.75,0.00399344723268041
0.01,0.001,3,29,90.625,0.00028747364479569265
0.01,0.0001,4,28,87.5,1.607658911726639e-05
0.02,0.01,3,29,90.625,0.0036784568145027973
0.02,0.001,4,28,87.5,0.0004105490885565361
0.02,0.0001,5,27,84.375,3.707391987696341e-05
0.05,0.01,5,27,84.375,0.004599745614971639
0.05,0.001,6,26,81.25,0.0008684987174075802
0.05,0.0001,8,24,75.0,1.9112180872667124e-05
0.1,0.01,8,24,75.0,0.0032953808437041613
0.1,0.001,9,23,71.875,0.0008094330563990678
0.1,0.0001,11,21,65.625,3.295800678402008e-05
0.2,0.01,12,20,62.5,0.006053520433793628
0.2,0.001,14,18,56.25,0.0005610245219394886
0.2,0.0001,16,16,50.0,3.271507141801848e-05
0.25,0.01,14,18,56.25,0.005963412534087557
0.25,0.001,16,16,50.0,0.0006002945916912439
0.25,0.0001,18,14,43.75,3.800758234598947e-05
0.5,0.01,23,9,28.125,0.0035001833457499743
0.5,0.001,25,7,21.875,0.0002675263676792383
0.5,0.0001,26,6,18.75,5.653710104525089e-05
