exact_core_copies,fallback_fraction,avg_exact_transport_fj_per_episode,transport_tax_percent_of_local_octet
1,0.01,0.4114,0.03106982296997903
1,0.05,2.057,0.15534911484989514
1,0.1,4.114,0.3106982296997903
1,0.25,10.285,0.7767455742494758
1,0.5,20.57,1.5534911484989515
2,0.01,0.29452500000000004,0.02224316871714408
2,0.05,1.472625,0.11121584358572041
2,0.1,2.94525,0.22243168717144082
2,0.25,7.363125,0.5560792179286019
2,0.5,14.72625,1.1121584358572039
4,0.01,0.17765,0.013416514464309127
4,0.05,0.8882500000000001,0.06708257232154563
4,0.1,1.7765000000000002,0.13416514464309126
4,0.25,4.44125,0.33541286160772815
4,0.5,8.8825,0.6708257232154563
8,0.01,0.1309,0.009885852763175145
8,0.05,0.6545000000000001,0.049429263815875736
8,0.1,1.3090000000000002,0.09885852763175147
8,0.25,3.2725,0.24714631907937865
8,0.5,6.545,0.4942926381587573
16,0.01,0.0374,0.002824529360907185
16,0.05,0.18700000000000003,0.014122646804535925
16,0.1,0.37400000000000005,0.02824529360907185
16,0.25,0.935,0.07061323402267962
16,0.5,1.87,0.14122646804535924
