variables,clauses,mode,instances,success_fraction,mean_settle_steps_success,median_settle_steps_success
16,67,plain,50,0.66,5.606060606060606,5
16,67,adaptive,50,0.94,8.680851063829786,4
24,101,plain,50,0.44,8.318181818181818,6.0
24,101,adaptive,50,0.82,12.853658536585366,7
32,134,plain,50,0.32,10.6875,6.0
32,134,adaptive,50,0.84,13.666666666666666,9.0
48,202,plain,50,0.14,9.571428571428571,8
48,202,adaptive,50,0.66,23.181818181818183,18
64,269,plain,50,0.08,35.75,27.0
64,269,adaptive,50,0.62,26.225806451612904,17
