nodes,average_degree,relation_types,hops,queries,grounded_target_recall,mean_relation_edge_events,median_relation_edge_events,mean_answer_set_size,active_edge_events_vs_full_scan_percent,conservative_spine_event_energy_proxy_fj
128,4,8,2,500,1.0,2.92,3.0,1.516,0.28515625,1.9564000000000001
128,4,8,4,500,1.0,6.374,6.0,1.734,0.31123046875,4.27058
128,4,8,8,500,1.0,13.556,13.0,1.786,0.33095703125,9.08252
256,4,8,2,500,1.0,3.108,3.0,1.682,0.1517578125,2.08236
256,4,8,4,500,1.0,6.708,6.0,1.81,0.16376953125000002,4.49436
256,4,8,8,500,1.0,13.632,13.0,1.694,0.16640625,9.13344
512,4,16,2,500,1.0,2.334,2.0,1.18,0.056982421875,1.5637800000000002
512,4,16,4,500,1.0,4.84,5.0,1.23,0.05908203125,3.2428
512,4,16,8,500,1.0,9.872,9.0,1.26,0.06025390625,6.614240000000001
512,8,16,2,500,1.0,3.148,3.0,1.688,0.038427734375,2.10916
512,8,16,4,500,1.0,6.602,6.0,1.758,0.04029541015625,4.4233400000000005
512,8,16,8,500,1.0,13.64,13.0,1.784,0.0416259765625,9.138800000000002
