corner,launch,pass_all4,min_margin_mV,min_second_request_V,max_wrong_route_V,max_lease_after_error_V
tt_mm,1,True,41.3945,1.638867,0.001616409,0.3469706
tt_mm,2,True,40.0498,1.653689,0.003207479,0.3390095
tt_mm,3,True,41.0730,1.677122,0.001610621,0.3410869
tt_mm,4,True,39.5934,1.640287,0.002692945,0.3450806
ff_mm,1,True,42.6810,1.782506,0.00002515987,0.3360472
ff_mm,2,True,40.1373,1.782159,0.0005568854,0.3392752
ff_mm,3,True,38.1292,1.780264,0.00003260844,0.3381117
ff_mm,4,True,40.8950,1.785994,0.00003674089,0.3356491
ss_mm,1,True,39.7025,1.294075,0.002000791,0.3569216
ss_mm,2,True,42.0869,1.075732,0.002003400,0.3511552
ss_mm,3,True,40.1739,1.189545,0.003353177,0.3540708
ss_mm,4,True,41.5323,1.218058,0.003384124,0.3549940
