corner,scenario,waken_min_v,waken_6ns_v,energy_fJ
fast,none,1.8,1.8,0.0000163
fast,row,1.799858,1.8,2.03143
fast,col,1.8,1.8,1.78040
fast,both,1.105006e-08,1.105006e-08,1.86399
fast,orth_xtalk_5mV,1.799859,1.8,2.03656
fast,parallel_xtalk_0p74V,1.743593,1.743593,133.0551
typ,none,1.8,1.8,0.0000163
typ,row,1.799896,1.8,2.04840
typ,col,1.8,1.8,1.78052
typ,both,2.013796e-08,2.013796e-08,1.74347
typ,orth_xtalk_5mV,1.799897,1.8,2.05353
typ,parallel_xtalk_0p74V,1.799827,1.799842,2.65268
slow,none,1.8,1.8,0.0000163
slow,row,1.799922,1.8,2.06093
slow,col,1.8,1.8,1.78062
slow,both,4.104309e-08,4.104309e-08,1.53339
slow,orth_xtalk_5mV,1.799922,1.8,2.06606
slow,parallel_xtalk_0p74V,1.799986,1.8,2.82139
skew_np,none,1.8,1.8,0.0000163
skew_np,row,1.799691,1.8,2.06055
skew_np,col,1.8,1.8,1.78035
skew_np,both,4.104308e-08,4.104308e-08,1.99451
skew_np,orth_xtalk_5mV,1.799692,1.8,2.06568
skew_np,parallel_xtalk_0p74V,1.799874,1.8,2.82087
skew_pn,none,1.8,1.8,0.0000163
skew_pn,row,1.799969,1.8,2.03179
skew_pn,col,1.8,1.8,1.78067
skew_pn,both,1.105006e-08,1.105006e-08,1.51539
skew_pn,orth_xtalk_5mV,1.799970,1.8,2.03693
skew_pn,parallel_xtalk_0p74V,0.0279951,0.0279951,23.17572
