scenario,group_cells,slow_outlet_copy_reduction_pct,peak_local_venule_charge_units
uniform,2,50.0,2.7516524061971412
uniform,4,75.0,3.3651023455425
uniform,8,87.5,4.813555068990785
uniform,16,93.75,7.2751593125388565
uniform,32,96.875,10.510911754606521
bursty,2,50.0,3.1029835497809044
bursty,4,75.0,3.986636820506171
bursty,8,87.5,5.926580147759372
bursty,16,93.75,9.388237584180382
bursty,32,96.875,16.627425179012207
aligned,2,50.0,2.267152667582482
aligned,4,75.0,3.9572922203142107
aligned,8,87.5,6.328851074951833
aligned,16,93.75,11.233331104069027
aligned,32,96.875,22.042397694433568
