phase_duration,policy,mean_backlog,mean_max_queue,mean_switches,mean_completed
4,dual,1716.06,54.08,27.6,2776.22
4,instant,1397.8,48.62,156.5,2774.26
4,single,1908.46,60.6,19.8,2766.94
8,dual,4970.52,78.84,48.3,5570.06
8,instant,3601.48,68.8,273.84,5569.64
8,single,5727.9,90.84,39.6,5561.08
16,dual,12285.84,109.36,70.78,11146.3
16,instant,9567.82,100.18,483.92,11147.1
16,single,14818.22,124.14,63.38,11141.08
32,dual,26227.66,143.88,114.82,22339.48
32,instant,25133.56,146.52,875.76,22328.76
32,single,33266.78,160.72,82.32,22324.6
64,dual,66058.62,216.64,203.76,44751.38
64,instant,72621.4,231.36,1604.42,44726.04
64,single,78011.44,234.52,142.96,44738.42
120,dual,184089.76,368.98,369.32,83888.56
120,instant,203781.46,387.5,2888.6,83863.56
120,single,199204.8,383.52,254.2,83877.34
