metric,condition,value
v13T_persist_every_change_endurance_epochs,100k SONOS cycles,2765432.098765432
consolidation_write_reduction_pct,window32,58.14249943091281
consolidation_live_role_match_fraction,window32,0.5057526018614374
consolidation_write_reduction_pct,window64,78.47939904393353
consolidation_live_role_match_fraction,window64,0.31273109348810446
consolidation_write_reduction_pct,window128,97.18188026405645
consolidation_live_role_match_fraction,window128,0.21111027190332327
consolidation_write_reduction_pct,window256,99.93626223537446
consolidation_live_role_match_fraction,window256,0.1970768286478061
SONOS_conservative_read_current_ratio,20uA_vs_2nA,10000
SONOS_geometric_mid_threshold_A,read_screen,2e-7
SONOS_MC_wrong_programmed_fraction,1M_samples_severe_noise,0
SONOS_MC_wrong_erased_fraction,1M_samples_severe_noise,0
stochastic_success_fraction,64vars_noise0,0.25
stochastic_success_fraction,64vars_noise0.10,0.4166666666666667
stochastic_success_fraction,96vars_noise0,0.08333333333333333
stochastic_success_fraction,96vars_noise0.20,0.5
stochastic_success_fraction,128vars_noise0,0
stochastic_success_fraction,128vars_noise0.10,0.16666666666666666
