metric,condition,value
system_adaptive_ontime_fraction,10pct_failure,0.7171133026511272
system_adaptive_p95_latency_epochs,10pct_failure,47.3275
system_adaptive_module_copies,physical_count_model,60.0
system_fixed_ontime_fraction,10pct_failure,0.5198460777102716
system_fixed_p95_latency_epochs,10pct_failure,372.7194999999998
system_fixed_module_copies,physical_count_model,60.0
system_universal_ontime_fraction,10pct_failure,0.9999713965924636
system_universal_p95_latency_epochs,10pct_failure,5.15
system_universal_module_copies,physical_count_model,320.0
v14C_crc_ontime_fraction,10pct_failure,0.9011225880000172
v14C_crc_p95_latency_epochs,10pct_failure,22.36
v14C_crc_module_copies,4_full+2_constraint_exact,64.0
v14C_crc_complete_fraction,10pct_failure,1.0
hard_pressure_0_resolved_fraction,96/128var_6q_per_epoch,0.7892133203239395
hard_pressure_0_ontime_fraction,96/128var_6q_per_epoch,0.6964394590627293
hard_pressure_15_resolved_fraction,96/128var_6q_per_epoch,0.7981558198008912
hard_pressure_15_ontime_fraction,96/128var_6q_per_epoch,0.7035556077142718
physical_pvt_points_fast_before_slow,TT_FF_SS_x_VDD_x_temp,27
physical_pvt_points_total,TT_FF_SS_x_VDD_x_temp,27
physical_min_fast_slow_gap_ns,selected_2MIM_fast_4MIM_slow,10.02300000000001
physical_mean_fast_slow_gap_ns,selected_2MIM_fast_4MIM_slow,24.85533333333333
