survival,lean,complete,ontime,p95,meanlat,backlog,drain,switches,modules,eff
0.7,1-3-4,1.0,0.5818092803783413,100.103,33.382195549617336,215379.64,94.34,167.46,66.0,0.008815292126944567
0.7,2-3-4,1.0,0.5804575435379234,100.3,32.80449530053609,213268.46,93.16,193.68,66.0,0.008794811265726113
0.7,3-4,1.0,0.5818092803783413,100.04299999999999,33.37971093408496,215375.16,94.32,167.32,64.0,0.009090770005911583
0.7,4,1.0,0.57756999798573,114.71199999999999,36.89442207834898,236915.64,99.58,147.86,62.0,0.009315645128802097
0.8,1-3-4,1.0,0.7064732552893231,51.74,18.67948476389227,129684.46,44.76,162.86,66.0,0.010704140231656412
0.8,2-3-4,1.0,0.7007630127905341,53.58,18.88693823204643,131422.96,46.5,186.4,66.0,0.010617621405917184
0.8,3-4,1.0,0.7064732552893231,51.74,18.67968544605127,129686.12,44.76,162.76,64.0,0.011038644613895674
0.8,4,1.0,0.6797307895133444,60.825999999999986,20.86112782597438,145404.92,47.72,144.3,62.0,0.010963399830860395
0.9,1-3-4,1.0,0.9011225880000171,22.36,9.445821046087822,66679.3,15.1,159.7,66.0,0.013653372545454805
0.9,2-3-4,1.0,0.8885014671520218,24.72199999999999,9.76547499436987,69050.02,16.78,176.38,66.0,0.013462143441697301
0.9,3-4,1.0,0.9011225880000171,22.36,9.446021728246826,66680.96,15.1,159.6,64.0,0.014080040437500267
0.9,4,1.0,0.8708896527317936,27.72,10.470438665497477,74712.46,16.2,142.16,62.0,0.014046607302125704
1.0,1-3-4,1.0,0.9990618998499543,10.648999999999996,5.526372179229084,36524.88,6.04,151.4,66.0,0.015137301512878098
1.0,2-3-4,1.0,0.9964309824505674,11.257999999999992,5.595202896131813,37082.76,6.02,161.66,66.0,0.015097439128038898
1.0,3-4,1.0,0.9990618998499543,10.668999999999997,5.526572861388088,36526.54,6.04,151.3,64.0,0.015610342185155536
1.0,4,1.0,0.9961482562331163,12.22,5.735046683334397,38216.32,6.08,130.52,62.0,0.01606690735859865
